card
Abomination of Gudul
Abstruse Interference
Deadeye Quartermaster
Deadly Alliance
Deadly Recluse
Deadshot Minotaur
Death Pulse
Death Stroke
Death's Approach
Death's Approach
Deathcult Rogue
Deathcult Rogue
Deathforge Shaman
Deathgrip
Deathknell Berserker
Deathless Ancient
Deathmark Prelate
Deathmark Prelate
Debilitating Injury
Decompose
Decompose
Deep Freeze
Deep Reconnaissance
Deepwater Hypnotist
Deepwood Ghoul
Defensive Maneuvers
Defiant Vanguard
Defiant Vanguard
Deflection
Defy Gravity
Defy Gravity
Dehydration
Dehydration
Deliberate
Demolish
Demolish
Demolish
Demolish
Demon Bolt
Demon's Grasp
Demon's Horn
Demon's Horn
Demonic Embrace
Demonic Gifts
Demystify
Demystify
Deny Reality
Depart the Realm
Depths of Desire
Desecrated Earth
Desert Twister
Desperate Castaways
Diminish
Dimir Guildgate
Dimir Guildgate
Dimir House Guard
Dimir Keyrune
Dire Fleet Captain
Disarm
Disarm
Disciple of the Old Ways
Discordant Piper
Disdainful Stroke
Disenchant
Disenchant
Disentomb
Disfigure
Disorient
Dispersing Orb
Disruptive Pitmage
Disruptive Pitmage
Distress
Divest
Divination
Divination
Divination
Divination
Divine Gambit
Divine Offering
Divine Offering
Divine Verdict
Dizzy Spell
Dogged Pursuit
Domestication
Domestication
Dominate
Dominator Drone
Doomed Traveler
Doomskar Oracle
Doomskar Titan
Douse in Gloom
Downpour
Downsize
Drag Down
Dragon
Dragon Mantle
Dragon's Claw
Dragon's Herald
Dragonscale Boon
Drain Life
Drain Life
Drainpipe Vermin
Drake
Dramatic Rescue
Dramatic Rescue
Drana's Silencer
Drastic Revelation
Draugr Recruiter
Draugr's Helm
Dread of Night
Dread Rider
Dread Warlock
Dread Warlock
Dreadwurm
Dream's Grip
Dreamstone Hedron
Dreg Mangler
Dripping-Tongue Zubera
Dromar's Charm
Dross Crocodile
Dross Hopper
Dross Hopper
Dross Prowler
Dross Prowler
Drowsing Tyrannodon
Drudge Beetle
Drudge Beetle
Drudge Sentinel
Drudge Skeletons
Drudge Skeletons
Drudge Skeletons
Druid Lyrist
Druid of the Anima
Druid of the Anima
Dryad's Favor
Dual Strike
Dub
Duergar Assailant
Duress
Duress
Duress
Dusk Imp
Duskborne Skymarcher
Duskdale Wurm
Duskwalker
Duskwielder
Dust Corona
Dutiful Return
Dutiful Return
Duty-Bound Dead
Dwarf Berserker
Dwarven Hammer
Dwarven Scorcher
Dwarven Strike Force
Dynacharge
Dynacharge
Dynacharge
Earthblighter
Earthen Arms
Echoing Calm
Echoing Ruin
Edge of Autumn
Eerie Ultimatum
Efreet Weaponmaster
Eiganjo Free-Riders
Elder Cathar
Eldrazi Aggressor
Eldrazi Devastator
Eldrazi Scion
Eldrazi Scion
Eldrazi Scion
Eldrazi Scion
Eldrazi Scion
Eldrazi Skyspawner
Electrostatic Bolt
Elemental
Elemental Uprising
Elephant Ambush
Elephant Guide
Elf Replica
Elf Replica
Elf Warrior
Eliminate
Elite Vanguard
Elven Bow
Elven Rite
Elvish Guidance
Elvish Pathcutter
Elvish Visionary
Elvish Warrior
Elvish Warrior
Ember Hauler
Embodiment of Fury
Embodiment of Insight
Embodiment of Spring
Emerald Oryx
Emerald Oryx
Emissary of Sunrise
Enatu Golem
Encampment Keeper
Encircling Fissure
Enclave Cryptologist
Enclave Cryptologist
Enclave Elite
Enormous Baloth
Envelop
Epiphany Storm
Epitaph Golem
Errant Ephemeron
Erratic Explosion
Erratic Explosion
Escape Artist
Escape Artist
Esper Sojourners
Esper Sojourners
Essence Backlash
Essence Backlash
Essence Depleter
Essence Drain
Etherium Abomination
Ethersworn Shieldmage
Evanescent Intellect
Everglove Courier
Excommunicate
Excommunicate
Expedite
Expedition Champion
Expedition Diviner
Expedition Envoy
Expedition Healer
Expedition Healer
Expedition Raptor
Expedition Skulker
Exploding Borders
Exploding Borders
Explore
Explore
Explorer's Scope
Explosive Vegetation
Exuberant Firestoker
Eye Gouge
Ezuri's Archers
Face of Fear
Fade from Memory
Fade from Memory
Falkenrath Exterminator
Fall of the Gavel
Fallow Earth
Familiar Ground
Farsight Adept
Fathom Fleet Boarder
Fathom Fleet Cutthroat
Fathom Fleet Firebrand
Fearless Fledgling
Fearless Pup
Feast of Dreams
Feat of Resistance
Feat of Resistance
Feed the Serpent
Feeling of Dread
Felhide Brawler
Felidar Cub
Fencer's Magemark
Feral Invocation
Feral Ridgewolf
Ferrovore
Fertile Ground
Fervent Cathar
Festerhide Boar
Festering Goblin
Festering Goblin
Fetid Imp
Fever Charm
Field Research
Fiery Fall
Fiery Hellhound
Fiery Hellhound
Fiery Hellhound
Fighting Drake
Filthy Cur
Finishing Blow
Fire Elemental
Fire Giant's Fury
Fire Juggler
Fire Shrine Keeper
Fire-Field Ogre
Fireball
Firebolt
Firebreathing
Firebreathing
Firebreathing
Firecannon Blast
Firecat Blitz
Firefist Striker
Firehoof Cavalry
Firja, Judge of Valor
Fissure
Fissure Vent
Fissure Wizard
Flame Burst
Flame Jab
Flameborn Hellion
Flamestick Courier
Flamestick Courier
Flamewave Invoker
Flamewave Invoker
Flash of Insight
Flayer Drone
Flight
Flight
Flight Spellbomb
Fling
Flood
Floodtide Serpent
Fog
Foothill Guide
Force Away
Forcemage Advocate
Foresee
Forest
Forest
Forest
Forest
Forge Armor
Forge Devil
Forge Devil
Forgotten Cave
Forgotten Cave
Forgotten Sentinel
Forlorn Pseudamma
Forsaken Drifters
Fortified Rampart
Fortress Crab
Foul Imp
Foulmire Knight // Profane Insight
Foundry Street Denizen
Fountain of Youth
Fractured Loyalty
Frazzle
Frenetic Raptor
Frenetic Raptor
Frenzied Rage
Frenzied Raider
Frenzied Raptor
Frightful Delusion
Frightshroud Courier
Frilled Deathspitter
Frilled Oculus
Frilled Oculus
Frontier Guide
Frost Bite
Frost Breath
Frostling
Frostpeak Yeti
Fugue
Fulminator Mage
Funeral Longboat
Funeral Pyre
Funeral Pyre
Fungal Infection
Furious Assault
Furious Rise
Furnace Spirit
Furor of the Bitten
Fury Charm
Fyndhorn Elder
Gaea's Protector
Gale Swooper
Gallantry
Galvanic Juggernaut
Garruk's Companion
Garruk's Gorehorn
Gatecreeper Vine
Gavony Township
Geistcatcher's Rig
Geistflame
Gempalm Sorcerer
Gempalm Strider
Geyser Glider
Geyser Glider
Geyserfield Stalker
Ghalma's Warden
Ghastly Demise
Ghastly Gloomhunter
Ghor-Clan Bloodscale
Ghost-Lit Redeemer
Ghost-Lit Redeemer
Ghostform
Ghosthelm Courier
Ghostly Possession
Ghostly Sentinel
Ghoulcaller's Bell
Ghoulraiser
Giant Badger
Giant Growth
Giant Growth
Giant Mantis
Giant Ox
Giant Scorpion
Giant Scorpion
Giant Spider
Giant Wizard
Giant's Amulet
Giant's Grasp
Gideon's Reproach
Gift of Tusks
Gilded Light
Gilded Sentinel
Glacial Floodplain
Glacial Grasp
Glacial Stalker
Gladecover Scout
Glassdust Hulk
Glasses of Urza
Gleaming Barrier
Glimmerpost
Glintwing Invoker
Gloom
Gloom Sower
Glorious Charge
Glorious Charge
Glory Seeker
Glory Seeker
Glory Seeker
Glory Seeker
Gluttonous Zombie
Gnarled Sage
Gnarlid Colony
Gnottvold Recluse
Gnottvold Slumbermound
Goatnapper
Goblin Archaeologist
Goblin Arsonist
Goblin Artillery
Goblin Artillery
Goblin Balloon Brigade
Goblin Brawler
Goblin Brigand
Goblin Cavaliers
Goblin Chariot
Goblin Clearcutter
Goblin Clearcutter
Goblin Deathraiders
Goblin Fireslinger
Goblin Freerunner
Goblin Grappler
Goblin Grappler
Goblin Lookout
Goblin Machinist
Goblin Machinist
Goblin Outlander
Goblin Piker
Goblin Piker
Goblin Raider
Goblin Replica
Goblin Replica
Goblin Shortcutter
Goblin Sky Raider
Goblin Sledder
Goblin Spelunkers
Goblin Striker
Goblin Taskmaster
Goblin Taskmaster
Goblin Tunneler
Goblin Turncoat
Goblin Turncoat
Goblin War Drums
Goblin War Paint
Goblin War Paint
Goblin War Wagon
Godtracker of Jund
Gold Myr
Golden Urn
Goldenglow Moth
Goldmaw Champion
Goldvein Pick
Golgari Guildgate
Golgari Guildgate
Golgari Keyrune
Goma Fada Vanguard
Gomazoa
Gore-House Chainwalker
Gore-House Chainwalker
Goremand
Gorger Wurm
Gorger Wurm
Gorilla Titan
Grapeshot Catapult
Grasp of Darkness
Grasp of Phantoms
Grave Birthing
Grave Consequences
Gravedigger
Gravedigger
Gravel Slinger
Gravepurge
Graveyard Shovel
Gravity Negator
Graxiplon
Gray Merchant of Asphodel
Grazing Gladehart
Grazing Whiptail
Great Hall of Starnheim
Greater Basilisk
Greenside Watcher
Gridlock
Griffin
Griffin Protector
Grim Discovery
Grim Roustabout
Grip of Desolation
Grisly Salvage
Grisly Salvage
Grisly Transformation
Grixis Grimblade
Grizzled Outcasts
Grizzled Outrider
Grizzly Bears
Grizzly Bears
Grotag Bug-Catcher
Grove Rumbler
Grovetender Druids
Gruesome Deformity
Gruesome Encore
Gruul Charm
Gruul Guildgate
Gruul Guildgate
Gruul Keyrune
Gruul Signet
Guardian Gladewalker
Guardian of Vitu-Ghazi
Guardians of Meletis
Guildscorn Ward
Gustcloak Sentinel
Gustcloak Sentinel
Gustcloak Skirmisher
Guul Draz Mucklord
Guul Draz Vampire
Guul Draz Vampire
Hagi Mob
Hagra Constrictor
Hagra Crocodile
Hagra Sharpshooter
Hailstorm Valkyrie
Halberdier
Halimar Tidecaller
Halimar Wavewatch
Hallow
Halt Order
Hammer of Ruin
Hand of Emrakul
Handcuffs
Hands of Binding
Harbor Serpent
Hardy Veteran
Harrier Griffin
Harrow
Harvest Pyre
Harvester Troll
Hatchet Bully
Headstrong Brute
Headwater Sentries
Heal
Healer of the Pride
Healing Salve
Healing Salve
Heartless Pillage
Heartstabber Mosquito
Heat Ray
Heavy Ballista
Hedron Blade
Hedron Scrabbler
Hedron Scrabbler
Heedless One
Heliod's Pilgrim
Hellfire Mongrel
Hellhole Flailer
Hellraiser Goblin
Hematite Golem
Hideous End
Hideous End
Highborn Vampire
Highland Game
Hijack
Hill Giant
Hinterland Hermit
Hired Giant
Hobblefiend
Hobblefiend
Hobgoblin Dragoon
Hold at Bay
Holdout Settlement
Holdout Settlement
Holy Strength
Holy Strength
Holy Strength
Holy Strength
Hooded Blightfang
Horizon Drake
Horizon Seeker
Horncaller's Chant
Horned Cheetah
Horned Troll
Horned Turtle
Horned Turtle
Horned Turtle
Hornet Sting
Horribly Awry
Hostile Realm
Hotheaded Giant
Howl of the Night Pack
Howl of the Night Pack
Howling Banshee
Human Warrior
Hundroog
Hunt the Weak
Hunter's Ambush
Hunter's Edge
Hunters' Feast
Hussar Patrol
Hydrosurge
Hypochondria
Hysterical Blindness
Ice Cage
Ice Cage
Ice Cage
Icehide Troll
Icy Manalith
Igneous Pouncer
Ignite Disorder
Ignite Disorder
Ignite Disorder
Ignite Disorder
Imperial Aerosaur
Impetuous Sunchaser
Improvised Armor
Inaction Injunction
Inaction Injunction
Inaction Injunction
Incinerate
Incite
Incite War
Increasing Savagery
Incubator Drone
Indentured Djinn
Index
Induce Despair
Inertia Bubble
Infantry Veteran
Infantry Veteran
Infected Vermin
Infectious Host
Infernal Pet
Infernal Scarring
Inferno Elemental
Inferno Elemental
Inferno Trap
Inferno Trap
Infest
Infuse with the Elements
Inordinate Rage
Inquisitor's Flail
Insect
Inspiration
Inspiration
Inspired Charge
Inspired Ultimatum
Inspiring Cleric
Inspirit
Inspirit
Instill Infection
Intangible Virtue
Into the Roil
Into the Roil
Invigorating Boon
Invigorating Boon
Invoke the Divine
Ior Ruin Expedition
Iridescent Hornbeetle
Iron Myr
Iron Star
Iron Star
Iron Verdict
Irradiate
Irradiate
Island
Island
Island
Island
Isolation Zone
Ivory Cup
Ivy Lane Denizen
Ixalli's Keeper
Izzet Boilerworks
Izzet Chronarch
Izzet Chronarch
Izzet Guildgate
Izzet Guildgate
Izzet Guildgate
Izzet Keyrune
Jace's Erasure
Jace's Ingenuity
Jade Guardian
Jarl of the Forsaken
Jaspera Sentinel
Jeskai Banner
Jeskai Elder
Jeskai Student
Jeskai Windscout
Jhessian Zombies
Jhoira's Familiar
Jhovall Rider
Joraga Bard
Joraga Visionary
Journey to Nowhere
Journey to Nowhere
Journey to Oblivion
Juggernaut
Jumbo Imp
Jump
Jump
Jund Charm
Jwar Isle Avenger
Kabira Crossroads
Kabira Crossroads
Kabira Outrider
Kabira Takedown // Kabira Plateau
Kalastria Nightwatch
Kaleidostone
Kami of False Hope
Kami of the Honored Dead
Karametra's Favor
Kardur, Doomscourge
Karfell Kennel-Master
Kathari Bomber
Kavu Climber
Kaya's Onslaught
Kazandu Blademaster
Kazandu Blademaster
Kazandu Nectarpot
Kazandu Nectarpot
Kazandu Stomper
Kazuul's Fury // Kazuul's Cliffs
Kazuul's Toll Collector
Keen Glidemaster
Keening Apparition
Keening Apparition
Keldon Megaliths
Keldon Overseer
Keldon Raider
Keldon Warcaller
Keldon Warlord
Kelinore Bat
Kessig Wolf
Keymaster Rogue
Khalni Gem
Khalni Heart Expedition
Kheru Dreadmaw
Kill Shot
Killer Bees
Killer Bees
Killing Glare
Kin-Tree Warden
Kindled Fury
Kindled Fury
Kindled Fury
King Harald's Revenge
Kingpin's Pet
Kird Ape
Kirtar's Desire
Kismet
Kitesail Cleric
Kitesail Freebooter
Kitesail Scout
Kithkin Zealot
Knight
Knight Ally
Knight of Cliffhaven
Knight of New Benalia
Knight of Obligation
Knight of Stromgald
Knight of Stromgald
Knight of Sursi
Kodama's Might
Koma's Faithful
Kor Aeronaut
Kor Ally
Kor Castigator
Kor Celebrant
Kor Duelist
Kor Duelist
Kor Hookmaster
Kor Hookmaster
Kor Outfitter
Kor Sanctifiers
Kor Scythemaster
Kor Sky Climber
Kor Warrior
Korozda Guildmage
Korozda Guildmage
Kozilek's Channeler
Kozilek's Pathfinder
Kozilek's Sentinel
Kozilek's Shrieker
Kozilek's Translator
Kraken Hatchling
Kraken's Eye
Kraken's Eye
Kraken's Eye
Kraken's Eye
Krark-Clan Grunt
Krark-Clan Ogre
Krark-Clan Stoker
Krosan Druid
Krosan Groundshaker
Krosan Groundshaker
Krumar Bond-Kin
Kyren Sniper
Lagac Lizard
Lancers en-Kor
Landbind Ritual
Lantern Spirit
Laquatus's Disdain
Lash of the Whip
Last Breath
Last Thoughts
Lava Axe
Lava Axe
Lava Axe
Lava Dart
Lava Dart
Lavafume Invoker
Lavamancer's Skill
Lavastep Raider
Lay Waste
Lead by Example
Leaden Myr
Leaden Myr
Leaf Arrow
Leafkin Avenger
Leaping Master
Leatherback Baloth
Legion Conquistador
Legion's Judgment
Lens of Clarity
Leonin Elder
Leshrac's Rite
Lethargy Trap
Lethargy Trap
Ley Line
Library Larcenist
Liege of the Axe
Life Goes On
Lifespark Spellbomb
Lifespring Druid
Lifetap
Lifetap
Lightning Blast
Lightning Elemental
Lightning Elemental
Lightning Rift
Lightning Strike
Lightning-Rig Crew
Lionheart Maverick
Liquify
Lithatog
Lithoform Blight
Lithomancer's Focus
Littjara Kinseekers
Littjara Mirrorlake
Living Tempest
Living Terrain
Living Terrain
Living Totem
Living Tsunami
Living Tsunami
Llanowar Elves
Llanowar Elves
Llanowar Mentor
Loam Larva
Lobber Crew
Lobber Crew
Lobber Crew
Lofty Denial
Lone Missionary
Lone Missionary
Lone Wolf
Lone Wolf
Lonely Sandbar
Longshot Squad
Looming Altisaur
Looming Shade
Looming Shade
Looming Shade
Looming Spires
Lost in the Mist
Lowland Oaf
Loxodon Anchorite
Loxodon Mender
Loxodon Mender
Loxodon Mystic
Loxodon Wayfarer
Loyal Unicorn
Lullmage's Familiar
Lumbering Satyr
Lumbering Satyr
Lumengrid Drake
Luminescent Rain
Lumithread Field
Lumithread Field
Lunk Errant
Lunk Errant
Lure
Lurking Chupacabra
Lust for War
Lyev Skyknight
Mad Dog
Mage's Guile
Mage's Guile
Maggot Carrier
Magma Rift
Magus of the Unseen
Maja, Bretagard Protector
Make a Stand
Makeshift Mauler
Makindi Aeronaut
Makindi Ox
Makindi Ox
Makindi Patrol
Makindi Shieldmate
Makindi Sliderunner
Makindi Stampede // Makindi Mesas
Malachite Golem
Malakir Blood-Priest
Malakir Familiar
Malakir Soothsayer
Malefic Scythe
Malevolent Awakening
Mammoth Growth
Mammoth Spider
Mana Cylix
Mana Cylix
Manic Vandal
Manic Vandal
Mantis Engine
Mantle of Leadership
Marauding Blight-Priest
Marauding Looter
March of the Drowned
Mardu Banner
Mardu Blazebringer
Mardu Hateblade
Mardu Heart-Piercer
Mardu Hordechief
Mardu Roughrider
Mardu Skullhunter
Mardu Warshrieker
Maritime Guard
Mark of the Vampire
Markov Patrician
Marsh Casualties
Martial Glory
Mask of Avacyn
Masked Blackguard
Masked Vandal
Mass of Ghouls
Massive Raid
Massive Raid
Master of the Veil
Master Skald
Master the Way
Matca Rioters
Matca Rioters
Maw of Kozilek
Maw of the Mire
Megrim
Memory Lapse
Memory Lapse
Mercadia's Downfall
Merfolk Falconer
Merfolk Looter
Merfolk Looter
